ZipCode,GeographicAreaName,Under5,5to9,10to14,15to19,20to24,25to29,30to34,35to39,40to44,45to49,50to54,55to59,60to64,65to69,70to74,75to79,80to84,over85,Median age (years)
 15794,ZCTA5 15794,107,80,109,151,166,104,131,59,96,124,241,121,284,150,155,151,53,82,51.5
 15795,ZCTA5 15795,0,4,0,6,6,3,4,4,0,9,12,22,63,24,6,14,5,0,60.6
 15796,ZCTA5 15796,0,4,2,0,0,6,4,2,0,0,18,3,0,99,14,6,7,8,65.5
 15797,ZCTA5 15797,5,0,4,21,4,9,7,4,7,46,11,23,14,16,11,3,4,5,48.1
 15798,ZCTA5 15798,307,496,314,463,372,261,324,397,357,380,404,403,490,398,349,295,235,166,44.3
 15799,ZCTA5 15799,49,52,73,47,143,202,277,253,209,191,145,133,131,102,39,30,25,10,39.2
 15800,ZCTA5 15800,60,75,25,47,28,13,124,51,28,48,61,77,63,69,51,50,17,9,43.5
 15801,ZCTA5 15801,269,306,306,257,195,228,188,248,138,236,184,348,263,221,260,146,58,43,38.8
 15802,ZCTA5 15802,16,0,20,0,28,23,11,22,21,23,16,34,11,0,0,0,0,0,37.7
 15803,ZCTA5 15803,16,22,35,41,21,6,26,31,35,41,37,42,29,54,148,25,16,6,55.6
 15804,ZCTA5 15804,61,38,56,53,36,47,110,68,52,86,103,73,90,93,53,93,0,19,48.1
 15805,ZCTA5 15805,187,146,132,118,201,106,172,108,132,169,268,176,198,133,187,101,110,95,47.1
 15806,ZCTA5 15806,197,243,302,327,169,158,186,171,239,215,187,310,312,251,260,174,178,141,45.3
 15807,ZCTA5 15807,21,14,16,63,17,2,8,13,38,24,140,25,69,42,21,14,4,11,52.4
 15808,ZCTA5 15808,1491,1539,1171,3493,13145,3007,2779,1794,2311,1641,1458,1680,2213,1288,1669,992,685,951,26.3
 15809,ZCTA5 15809,0,0,0,8542,4093,65,0,0,0,0,0,0,0,0,0,0,0,0,19.4
 15810,ZCTA5 15810,747,976,751,978,5815,2756,1652,1198,1386,1415,1058,1044,1057,1088,762,469,386,426,29.9
 15811,ZCTA5 15811,230,208,176,148,74,59,89,35,100,62,57,86,60,31,63,13,17,6,19.8
 15812,ZCTA5 15812,0,0,42,12,23,0,0,20,36,15,22,24,13,12,0,0,0,0,40.6
 15813,ZCTA5 15813,81,89,95,98,137,106,117,101,83,203,152,156,134,146,86,56,35,60,47
 15814,ZCTA5 15814,1047,1197,1207,781,1122,2375,2534,2389,1745,2015,2519,2581,1933,2343,1191,875,459,832,45.3
 15815,ZCTA5 15815,0,0,15,14,24,84,0,0,27,24,5,21,12,8,7,0,0,0,27.1
 15816,ZCTA5 15816,13,24,5,4,0,32,36,22,19,42,14,31,40,50,55,17,13,8,55.2
 15817,ZCTA5 15817,225,173,367,120,250,175,430,288,328,286,302,303,449,282,245,206,236,59,45.1
 15818,ZCTA5 15818,251,386,269,160,128,359,130,305,288,275,430,290,382,430,363,180,137,86,48.1
 15819,ZCTA5 15819,66,37,29,50,46,12,19,27,65,59,34,46,47,59,39,42,10,3,44.3
 15820,ZCTA5 15820,796,948,685,820,673,876,966,848,922,609,661,1090,789,863,737,465,434,462,41.2
 15821,ZCTA5 15821,13,18,18,12,12,13,10,14,29,10,18,44,14,10,9,39,10,7,52.1
 15822,ZCTA5 15822,310,340,303,264,250,501,219,275,265,356,303,292,407,357,306,223,119,118,42.5
 15823,ZCTA5 15823,38,7,17,86,77,16,0,144,0,24,131,51,28,34,3,17,0,4,37.7
 15824,ZCTA5 15824,7,7,9,18,22,15,8,6,23,20,18,6,22,21,4,10,2,3,43.8
 15825,ZCTA5 15825,32,36,38,45,83,56,48,34,53,79,85,117,90,77,85,71,43,25,53.3
 15826,ZCTA5 15826,24,0,0,0,9,23,0,0,0,0,0,33,0,7,40,0,0,0,58.7
 15827,ZCTA5 15827,38,98,101,137,93,98,104,102,65,182,176,121,161,138,73,48,42,54,48.5
 15828,ZCTA5 15828,14,29,34,32,0,32,20,56,48,31,26,8,29,13,0,34,0,0,35.8
 15829,ZCTA5 15829,12,0,0,52,0,0,0,0,44,10,36,16,25,0,34,46,15,13,54.8
 15830,ZCTA5 15830,422,558,453,382,328,493,467,486,288,361,590,464,493,343,245,238,119,103,38.3
 15831,ZCTA5 15831,0,0,25,0,16,13,13,0,23,41,46,60,68,16,8,8,0,17,55
 15832,ZCTA5 15832,117,78,108,156,156,104,184,173,163,162,178,266,297,172,91,65,54,17,46.4
 15833,ZCTA5 15833,20,40,40,65,57,29,98,154,84,34,54,115,58,70,62,34,17,25,40.6
 15834,ZCTA5 15834,8,0,4,5,12,21,22,121,5,16,25,73,19,15,22,0,0,0,39
 15835,ZCTA5 15835,25,13,37,0,9,50,0,5,16,9,27,24,15,9,22,5,18,5,42.5
 15836,ZCTA5 15836,0,0,0,0,0,0,0,0,0,0,4,20,20,19,0,7,0,0,63.6
 15837,ZCTA5 15837,72,50,29,28,33,185,131,164,66,18,125,147,109,18,25,11,0,0,35.7
 15838,ZCTA5 15838,1,0,40,10,3,0,0,21,4,4,16,16,10,9,10,16,5,0,47.9
 15839,ZCTA5 15839,16,11,11,11,29,9,41,22,17,16,44,8,29,48,21,10,15,0,48.8
 15840,ZCTA5 15840,21,59,31,41,55,35,20,47,78,40,71,58,39,42,24,10,34,32,43.9
 15841,ZCTA5 15841,0,0,0,12,17,0,0,0,27,0,0,0,0,6,15,0,10,0,42.1
 15842,ZCTA5 15842,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,-
 15843,ZCTA5 15843,165,170,258,208,242,209,160,186,135,159,392,281,260,278,435,124,74,90,51.1
 15844,ZCTA5 15844,8,15,30,42,26,24,19,20,24,37,53,68,36,21,43,12,4,12,50.1
 15845,ZCTA5 15845,3,0,20,18,0,5,0,0,0,44,124,83,46,0,0,19,0,0,52.7
 15846,ZCTA5 15846,7,12,18,4,8,7,10,10,28,24,11,16,34,10,6,17,33,31,56.7
 15847,ZCTA5 15847,45,20,31,7,29,23,30,20,38,51,44,40,44,44,64,12,34,18,50.3
 15848,ZCTA5 15848,0,0,5,9,0,0,0,5,12,3,19,0,7,12,10,0,6,9,50.9
 15849,ZCTA5 15849,21,22,42,72,121,131,79,57,75,16,107,157,50,151,154,74,32,44,50.8
 15850,ZCTA5 15850,409,307,424,320,382,518,720,880,667,667,634,673,671,698,457,380,268,290,45.4
 15851,ZCTA5 15851,0,0,70,0,11,3,0,321,56,32,84,30,220,9,86,13,34,61,52.9
 15852,ZCTA5 15852,349,757,562,365,210,214,520,402,640,635,616,599,502,473,225,216,80,53,41.8
 15853,ZCTA5 15853,0,0,0,0,3,18,14,0,0,0,0,11,0,0,0,4,2,0,31.4
 15854,ZCTA5 15854,140,134,187,142,120,55,88,39,76,90,98,67,50,78,65,32,43,18,28.1
 15855,ZCTA5 15855,55,50,70,42,77,69,112,48,56,67,116,103,84,80,52,57,41,16,46.2
 15856,ZCTA5 15856,103,243,346,187,110,97,113,256,272,295,209,286,273,191,256,151,111,79,46.5
 15857,ZCTA5 15857,24,3,0,12,6,3,22,43,5,32,31,5,26,3,6,11,6,4,47.4
 15858,ZCTA5 15858,42,51,53,119,81,190,30,101,84,113,184,288,88,108,99,58,87,70,53
 15859,ZCTA5 15859,69,136,106,105,35,80,105,139,107,84,105,221,172,130,88,29,58,29,45.9
 15860,ZCTA5 15860,22,6,4,0,0,27,26,61,15,35,65,80,10,23,29,5,0,0,51.3
 15861,ZCTA5 15861,105,38,118,119,129,181,127,50,206,91,234,291,212,184,60,68,210,16,50.6
 15862,ZCTA5 15862,52,22,28,21,16,12,28,18,63,0,65,17,38,28,29,17,1,0,42.6
